,openTime,open,high,low,close,volume,closeTime,assestVolume,noOfTrades,symbol,interval
33,2023-01-01T05:33:00,16532.23,16534.06,16530.3,16532.32,59.56348,2023-01-01T05:33:59.999000,984719.7133917,2365,btcusdt,1m
34,2023-01-01T05:34:00,16532.32,16532.96,16522.03,16527.83,110.89703,2023-01-01T05:34:59.999000,1832935.1892782,3794,btcusdt,1m
35,2023-01-01T05:35:00,16527.27,16530.09,16521.51,16524.14,114.37543,2023-01-01T05:35:59.999000,1890182.6613259,4156,btcusdt,1m
36,2023-01-01T05:36:00,16524.14,16526.83,16516.12,16520.7,142.54392,2023-01-01T05:36:59.999000,2354987.1974863,4522,btcusdt,1m
37,2023-01-01T05:37:00,16520.19,16520.72,16508.39,16515.33,165.72038,2023-01-01T05:37:59.999000,2736644.7090165,5390,btcusdt,1m
38,2023-01-01T05:38:00,16515.33,16521.53,16513.15,16517.71,113.02461,2023-01-01T05:38:59.999000,1866951.3522535,3580,btcusdt,1m
39,2023-01-01T05:39:00,16518.44,16526.82,16517.64,16524.04,76.47037,2023-01-01T05:39:59.999000,1263473.2828186,3395,btcusdt,1m
40,2023-01-01T05:40:00,16524.83,16525.25,16522.41,16523.64,38.73732,2023-01-01T05:40:59.999000,640078.3079664,2169,btcusdt,1m
41,2023-01-01T05:41:00,16524.17,16525.04,16513.4,16514.65,110.11967,2023-01-01T05:41:59.999000,1818850.3861678,3564,btcusdt,1m
42,2023-01-01T05:42:00,16515.19,16516.79,16512.7,16515.16,57.37769,2023-01-01T05:42:59.999000,947581.0088003,2653,btcusdt,1m
43,2023-01-01T05:43:00,16515.16,16517.62,16514.32,16517.16,46.16403,2023-01-01T05:43:59.999000,762458.7507074,2288,btcusdt,1m
44,2023-01-01T05:44:00,16517.16,16522.72,16515.39,16515.43,106.54588,2023-01-01T05:44:59.999000,1760007.5588759,3629,btcusdt,1m
45,2023-01-01T05:45:00,16515.91,16520.85,16515.43,16519.03,62.45521,2023-01-01T05:45:59.999000,1031617.7576127,2723,btcusdt,1m
46,2023-01-01T05:46:00,16519.03,16523.84,16518.97,16523.25,67.05876,2023-01-01T05:46:59.999000,1107959.7690004,2897,btcusdt,1m
47,2023-01-01T05:47:00,16523.25,16529.97,16520.89,16529.07,90.68886,2023-01-01T05:47:59.999000,1498654.4174251,3024,btcusdt,1m
48,2023-01-01T05:48:00,16529.07,16533.98,16528.35,16532.97,65.70449,2023-01-01T05:48:59.999000,1086141.1242615,2405,btcusdt,1m
49,2023-01-01T05:49:00,16532.54,16535.66,16528.69,16529.16,71.36482,2023-01-01T05:49:59.999000,1179783.111184,2468,btcusdt,1m
50,2023-01-01T05:50:00,16529.69,16530.97,16526.36,16527.22,51.54478,2023-01-01T05:50:59.999000,851972.788794,2108,btcusdt,1m
51,2023-01-01T05:51:00,16527.57,16528.85,16526.53,16528.29,27.46025,2023-01-01T05:51:59.999000,453856.5192116,1390,btcusdt,1m
52,2023-01-01T05:52:00,16527.88,16529.05,16527.44,16528.16,25.2805,2023-01-01T05:52:59.999000,417841.4585521,1442,btcusdt,1m
53,2023-01-01T05:53:00,16528.16,16529.3,16527.53,16528.53,26.92832,2023-01-01T05:53:59.999000,445081.8418679,1303,btcusdt,1m
54,2023-01-01T05:54:00,16528.53,16533.79,16528.4,16531.84,45.13835,2023-01-01T05:54:59.999000,746198.6883826,2002,btcusdt,1m
55,2023-01-01T05:55:00,16531.84,16532.88,16530.73,16532.21,24.30325,2023-01-01T05:55:59.999000,401772.8095811,1157,btcusdt,1m
56,2023-01-01T05:56:00,16532.21,16534.81,16531.26,16533.49,27.43781,2023-01-01T05:56:59.999000,453630.5730486,1492,btcusdt,1m
57,2023-01-01T05:57:00,16533.85,16536.84,16532.96,16533.8,49.25444,2023-01-01T05:57:59.999000,814391.5188989,1871,btcusdt,1m
58,2023-01-01T05:58:00,16533.79,16534.18,16529.52,16530.89,55.57758,2023-01-01T05:58:59.999000,918785.0031926,2387,btcusdt,1m
59,2023-01-01T05:59:00,16530.57,16531.1,16528.94,16529.67,33.81472,2023-01-01T05:59:59.999000,558950.5801462,1655,btcusdt,1m
60,2023-01-01T06:00:00,16529.59,16529.93,16525.78,16528.04,84.85522,2023-01-01T06:00:59.999000,1402470.0989727,2337,btcusdt,1m
61,2023-01-01T06:01:00,16528.53,16532.93,16527.93,16531.59,90.61221,2023-01-01T06:01:59.999000,1497881.9209274,2166,btcusdt,1m
62,2023-01-01T06:02:00,16531.59,16536.5,16530.65,16535.16,82.29637,2023-01-01T06:02:59.999000,1360700.4761579,2541,btcusdt,1m
63,2023-01-01T06:03:00,16535.16,16537.66,16533.11,16534.36,64.96482,2023-01-01T06:03:59.999000,1074202.2061995,2485,btcusdt,1m
64,2023-01-01T06:04:00,16533.89,16534.49,16528.27,16531.02,98.94372,2023-01-01T06:04:59.999000,1635673.9385617,2803,btcusdt,1m
65,2023-01-01T06:05:00,16530.39,16533.22,16530.31,16531.35,38.196,2023-01-01T06:05:59.999000,631436.6718343,1843,btcusdt,1m
66,2023-01-01T06:06:00,16531.79,16535.13,16531.35,16534.22,34.57814,2023-01-01T06:06:59.999000,571710.8811549,1729,btcusdt,1m
67,2023-01-01T06:07:00,16533.74,16536.84,16533.72,16536.07,46.71709,2023-01-01T06:07:59.999000,772482.6551833,1886,btcusdt,1m
68,2023-01-01T06:08:00,16536.63,16537.25,16534.68,16535.73,61.5612,2023-01-01T06:08:59.999000,1017971.6648542,2324,btcusdt,1m
69,2023-01-01T06:09:00,16535.23,16540.47,16534.76,16539.2,102.76623,2023-01-01T06:09:59.999000,1699498.3021989,3038,btcusdt,1m
70,2023-01-01T06:10:00,16539.2,16541.12,16538.47,16540.56,56.13272,2023-01-01T06:10:59.999000,928443.685602,1896,btcusdt,1m
71,2023-01-01T06:11:00,16540.55,16540.88,16539.06,16539.83,25.86477,2023-01-01T06:11:59.999000,427803.9895301,1251,btcusdt,1m
72,2023-01-01T06:12:00,16539.51,16540.07,16535.4,16537.23,68.06103,2023-01-01T06:12:59.999000,1125573.1996908,1899,btcusdt,1m
73,2023-01-01T06:13:00,16537.23,16541.6,16536.46,16541.43,64.01493,2023-01-01T06:13:59.999000,1058780.8215861,1970,btcusdt,1m
74,2023-01-01T06:14:00,16541.42,16541.8,16537.24,16538.21,57.68235,2023-01-01T06:14:59.999000,954045.8214402,2032,btcusdt,1m
75,2023-01-01T06:15:00,16537.68,16540.82,16537.68,16538.66,33.18966,2023-01-01T06:15:59.999000,548925.9905737,1690,btcusdt,1m
76,2023-01-01T06:16:00,16538.66,16539.6,16534.11,16535.73,42.95619,2023-01-01T06:16:59.999000,710372.5772505,1832,btcusdt,1m
77,2023-01-01T06:17:00,16536.14,16537.0,16534.0,16537.0,34.75675,2023-01-01T06:17:59.999000,574730.2381575,1652,btcusdt,1m
78,2023-01-01T06:18:00,16536.58,16539.39,16536.0,16538.93,34.86074,2023-01-01T06:18:59.999000,576496.9306023,1904,btcusdt,1m
79,2023-01-01T06:19:00,16539.39,16539.39,16538.0,16538.59,33.79597,2023-01-01T06:19:59.999000,558937.9105939,1667,btcusdt,1m
80,2023-01-01T06:20:00,16539.04,16539.95,16537.76,16538.13,42.06514,2023-01-01T06:20:59.999000,695696.6446873,1739,btcusdt,1m
81,2023-01-01T06:21:00,16538.13,16538.47,16533.91,16535.1,63.56042,2023-01-01T06:21:59.999000,1051003.9580059,2380,btcusdt,1m
82,2023-01-01T06:22:00,16535.39,16536.0,16533.69,16534.41,32.44477,2023-01-01T06:22:59.999000,536465.3200524,1566,btcusdt,1m
83,2023-01-01T06:23:00,16534.92,16534.92,16530.76,16532.21,78.99676,2023-01-01T06:23:59.999000,1305998.2494354,2213,btcusdt,1m
84,2023-01-01T06:24:00,16532.21,16538.02,16531.67,16536.22,55.62053,2023-01-01T06:24:59.999000,919679.8346395,2010,btcusdt,1m
85,2023-01-01T06:25:00,16536.22,16536.64,16533.83,16534.38,47.0561,2023-01-01T06:25:59.999000,778073.9908615,1829,btcusdt,1m
86,2023-01-01T06:26:00,16534.38,16536.05,16533.24,16535.33,41.84059,2023-01-01T06:26:59.999000,691825.5397811,1987,btcusdt,1m
87,2023-01-01T06:27:00,16535.33,16535.71,16531.93,16533.27,52.68049,2023-01-01T06:27:59.999000,871008.1535747,2059,btcusdt,1m
88,2023-01-01T06:28:00,16533.09,16534.35,16531.79,16533.89,28.90992,2023-01-01T06:28:59.999000,477968.6300663,1382,btcusdt,1m
89,2023-01-01T06:29:00,16534.2,16535.15,16532.56,16534.6,38.95118,2023-01-01T06:29:59.999000,644018.3462307,1707,btcusdt,1m
90,2023-01-01T06:30:00,16534.02,16534.67,16532.32,16532.73,26.24595,2023-01-01T06:30:59.999000,433940.2979998,1422,btcusdt,1m
91,2023-01-01T06:31:00,16532.73,16534.16,16530.62,16532.5,55.91654,2023-01-01T06:31:59.999000,924455.4217899,2084,btcusdt,1m
92,2023-01-01T06:32:00,16532.5,16535.72,16532.08,16532.73,34.16425,2023-01-01T06:32:59.999000,564860.4862488,1246,btcusdt,1m
93,2023-01-01T06:33:00,16532.73,16533.46,16531.69,16532.66,27.64374,2023-01-01T06:33:59.999000,457018.7019636,1424,btcusdt,1m
94,2023-01-01T06:34:00,16532.95,16532.95,16531.09,16532.0,32.71525,2023-01-01T06:34:59.999000,540845.4530383,1468,btcusdt,1m
95,2023-01-01T06:35:00,16531.74,16536.25,16530.75,16535.62,70.63877,2023-01-01T06:35:59.999000,1167882.7510024,2439,btcusdt,1m
96,2023-01-01T06:36:00,16535.62,16539.92,16534.7,16535.15,75.32019,2023-01-01T06:36:59.999000,1245551.5575588,2566,btcusdt,1m
97,2023-01-01T06:37:00,16535.16,16536.51,16534.18,16536.5,45.13482,2023-01-01T06:37:59.999000,746316.259802,1796,btcusdt,1m
98,2023-01-01T06:38:00,16536.51,16537.79,16534.31,16534.49,48.06181,2023-01-01T06:38:59.999000,794761.4013535,2015,btcusdt,1m
99,2023-01-01T06:39:00,16534.49,16536.01,16533.72,16535.19,35.50265,2023-01-01T06:39:59.999000,587036.482305,1603,btcusdt,1m
100,2023-01-01T06:40:00,16535.19,16542.12,16534.19,16540.41,87.08721,2023-01-01T06:40:59.999000,1440304.7524162,3072,btcusdt,1m
101,2023-01-01T06:41:00,16539.67,16543.38,16539.06,16542.89,67.03039,2023-01-01T06:41:59.999000,1108774.5989628,2437,btcusdt,1m
102,2023-01-01T06:42:00,16543.26,16543.31,16539.24,16541.98,53.42553,2023-01-01T06:42:59.999000,883739.9067523,2007,btcusdt,1m
103,2023-01-01T06:43:00,16541.98,16542.72,16538.55,16539.9,67.83619,2023-01-01T06:43:59.999000,1122040.4983729,2199,btcusdt,1m
104,2023-01-01T06:44:00,16539.9,16541.51,16537.75,16539.94,65.96856,2023-01-01T06:44:59.999000,1091117.688967,2392,btcusdt,1m
105,2023-01-01T06:45:00,16539.94,16542.47,16538.03,16541.44,65.87531,2023-01-01T06:45:59.999000,1089591.7630508,2292,btcusdt,1m
106,2023-01-01T06:46:00,16542.0,16543.56,16540.02,16542.95,74.26233,2023-01-01T06:46:59.999000,1228416.7291087,2676,btcusdt,1m
107,2023-01-01T06:47:00,16542.5,16543.72,16540.9,16541.42,75.94129,2023-01-01T06:47:59.999000,1256239.8227232,2823,btcusdt,1m
108,2023-01-01T06:48:00,16541.83,16542.19,16539.76,16541.91,58.76517,2023-01-01T06:48:59.999000,972033.5314633,1976,btcusdt,1m
109,2023-01-01T06:49:00,16541.91,16547.23,16540.8,16546.33,81.36408,2023-01-01T06:49:59.999000,1346111.604586,2571,btcusdt,1m
